# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# archive_set_sha256=b734ff51e5a98964c3dccbb1877bb3298ab8db5ca87b475caca0c2a4c48e57aa
# signatures=7143 manual_starts=12563 min_len=8 min_fixed=6 high_len=16 high_fixed=10
# offstart_min_len=24 offstart_min_fixed=16
rva	name	lib	confidence	extent	fixed_bytes	identity_match_count	rva_identity_count	member	archive_sha256	member_sha256	source	notes
0x001920	??_Gfacet@locale@std@@UAEPAXI@Z	LIBCPMT.LIB	AMBIG	0x20	24	1	4	build/intel/mt_obj/locale.obj	a3eccb714492272144aa3f1b2e19449d4233eeb55ecdcb3e4fdb98e8f463443c	864bde5ab934981cf0cad21d525d89b9b1f136298cdee844f77357df6f40ba63	anchored	rva_multiidentity=4
0x001b80	??_Gios@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/_ios.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	f61d1dd17fdb6b82b0b6d3df19a5208614d7e452847ebe47c03faa30a1edfb40	anchored	identity_multimatch=143;rva_multiidentity=67
0x001c40	??_Gios@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/_ios.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	f61d1dd17fdb6b82b0b6d3df19a5208614d7e452847ebe47c03faa30a1edfb40	anchored	identity_multimatch=143;rva_multiidentity=67
0x027c80	_$E19	LIBCIMT.LIB	LOW	0xe	6	45	97	build/intel/mt_obj/cerrinit.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	28c54e7740bad521ace3ade02b67d1bcdad5b519dc17ac3d81389a703d987221	anchored	identity_multimatch=45;rva_multiidentity=97;short=14;fewfixed=6
0x027d30	??_Gios@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/_ios.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	f61d1dd17fdb6b82b0b6d3df19a5208614d7e452847ebe47c03faa30a1edfb40	anchored	identity_multimatch=143;rva_multiidentity=67
0x028680	??_Gios@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/_ios.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	f61d1dd17fdb6b82b0b6d3df19a5208614d7e452847ebe47c03faa30a1edfb40	anchored	identity_multimatch=143;rva_multiidentity=67
0x028b90	??0__non_rtti_object@@QAE@ABV0@@Z	LIBCMT.LIB	AMBIG	0x19	17	6	8	build/intel/mt_obj/rtti.obj	1f18290e7cc8419f2d343d7c262b1b04146c244b58e23dfac95c6a1d684cfd4f	842eedb30a430866e2945420b80fd0a75e0c9e6385323c14f0e4ed6a73a270ae	anchored	identity_multimatch=6;rva_multiidentity=8
0x028bb0	??_Gios@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/_ios.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	f61d1dd17fdb6b82b0b6d3df19a5208614d7e452847ebe47c03faa30a1edfb40	anchored	identity_multimatch=143;rva_multiidentity=67
0x028e10	??_Gios@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/_ios.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	f61d1dd17fdb6b82b0b6d3df19a5208614d7e452847ebe47c03faa30a1edfb40	anchored	identity_multimatch=143;rva_multiidentity=67
0x028e40	??0__non_rtti_object@@QAE@ABV0@@Z	LIBCMT.LIB	AMBIG	0x19	17	6	8	build/intel/mt_obj/rtti.obj	1f18290e7cc8419f2d343d7c262b1b04146c244b58e23dfac95c6a1d684cfd4f	842eedb30a430866e2945420b80fd0a75e0c9e6385323c14f0e4ed6a73a270ae	anchored	identity_multimatch=6;rva_multiidentity=8
0x0294d0	??_Gios@@UAEPAXI@Z	LIBCIMT.LIB	AMBIG	0x1e	22	143	67	build/intel/mt_obj/_ios.obj	58518ee872c0fa87121e161aaa1818545e81e38c728397169b0258df36cf6a0e	f61d1dd17fdb6b82b0b6d3df19a5208614d7e452847ebe47c03faa30a1edfb40	anchored	identity_multimatch=143;rva_multiidentity=67
